Time	TOPUPCC:rdCur [mA]	TOPUPCC:rdCurrentB [mA]	PAHB:sDelay [ns]	PAHB:pDelay [ns]	TOPUPCC:rdEffBoostRraw [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	LINAC1C:rdHVS_C [µA]	
09/04/2017 07:10:58.315935	2.00877	0.559327	0	-0.0700784	77.305	0.77305	0.784164	-3.99307	
09/04/2017 07:10:58.815118	2.00877	0.568929	0	-0.0700784	77.305	0.77305	0.784164	-3.81947	
09/04/2017 07:10:59.314334	2.18441	0.554452	0	-0.0700784	77.305	0.77305	0.800306	-3.81947	
09/04/2017 07:10:59.813979	2.18441	0.554452	0	-0.0700784	80.0306	0.801581	0.800306	-3.81947	
09/04/2017 07:11:00.313055	2.18431	0.557494	0	-0.0700784	80.0306	0.801581	0.800306	-3.81947	
09/04/2017 07:11:00.812666	2.18431	0.588167	0	-0.0700784	80.0306	0.801581	0.800306	-3.81947	
09/04/2017 07:11:01.312637	2.36999	0.566245	0	-0.0700784	80.1581	0.801581	0.824822	-3.81947	
09/04/2017 07:11:01.811729	2.36999	0.56585	0	-0.0700784	81.9381	0.819381	0.824822	-3.99307	
09/04/2017 07:11:02.311027	2.37013	0.56585	0	-0.0700784	81.9381	0.819381	0.824822	-3.99307	
09/04/2017 07:11:02.810811	2.37013	0.56624	0	-0.0700784	81.9381	0.819381	0.824822	-3.81947	
09/04/2017 07:11:03.309943	2.5462	0.552451	0	-0.0700784	78.8026	0.819381	0.788026	-3.81947	
09/04/2017 07:11:03.809348	2.5462	0.550814	0	-0.0700784	78.8026	0.800858	0.788026	-3.99307	
09/04/2017 07:11:04.308837	2.54566	0.550814	0	-0.0700784	78.8026	0.800858	0.788026	-3.81947	
09/04/2017 07:11:04.807979	2.54566	0.553881	0	-0.0700784	78.8026	0.800858	0.788026	-3.81947	
09/04/2017 07:11:05.307123	2.72439	0.55375	0	-0.0700784	80.0858	0.800858	0.803042	-3.81947	
09/04/2017 07:11:05.806257	2.72439	0.55375	0	-0.0700784	80.3042	0.809866	0.803042	-3.81947	
09/04/2017 07:11:06.305707	2.72465	0.55676	0	-0.0700784	80.3042	0.809866	0.803042	-3.81947	
09/04/2017 07:11:06.805056	2.72465	0.557989	0	-0.0700784	80.3042	0.809866	0.803042	-3.99307	
09/04/2017 07:11:07.304378	2.8992	0.558935	0	-0.0700784	77.866	0.809866	0.77866	-3.81947	
09/04/2017 07:11:07.803478	2.8992	0.557717	0	-0.0700784	77.2048	0.772048	0.77866	-3.99307	
09/04/2017 07:11:08.303021	2.89911	0.557717	0	-0.0700784	77.2048	0.772048	0.77866	-3.99307	
09/04/2017 07:11:08.802807	2.89911	0.570234	0.05	-0.0700784	77.2048	0.772048	0.77866	-3.99307	
09/04/2017 07:11:09.302214	2.9893	0.290089	0.05	-0.0700784	77.2048	0.772048	0.774539	-3.99307	
09/04/2017 07:11:09.801344	2.9893	0.287822	0.05	-0.0526737	77.4539	0.798082	0.774539	-3.81947	
09/04/2017 07:11:10.300885	2.98998	0.287822	0.05	-0.0401079	77.4539	0.798082	0.774539	-3.81947	
09/04/2017 07:11:10.800199	2.98998	0.558317	0.05	-0.0316788	77.4539	0.798082	0.774539	-3.81947	
09/04/2017 07:11:11.300034	3.16084	0.562981	0.05	-0.0268398	74.48	0.798082	0.7448	-3.81947	
09/04/2017 07:11:11.799055	3.16084	0.563502	0.05	-0.0262934	74.48	0.76384	0.7448	-3.81947	
09/04/2017 07:11:12.299067	3.16162	0.559817	0.05	-0.0262934	74.48	0.76384	0.7448	-3.99307	
09/04/2017 07:11:12.798786	3.16162	0.559379	0.05	-0.0262934	74.48	0.76384	0.7448	-3.99307	
09/04/2017 07:11:13.298751	3.31002	0.544834	0.05	-0.0262934	68.3996	0.76384	0.683996	-3.99307	
09/04/2017 07:11:13.798288	3.31002	0.544834	0.05	-0.0262934	68.3996	0.691506	0.683996	-3.81947	
