Time	TOPUPCC:rdCur [mA]	TOPUPCC:rdCurrentB [mA]	PAHB:sDelay [ns]	PAHB:pDelay [ns]	TOPUPCC:rdEffBoostRraw [%]	TOPUP1T5G:rdEffBoostRraw []	TOPUP2T5G:rdEffBoostRraw []	
09/04/2017 04:53:10.023468	8.47137	0.573318	0.65	0.602071	-1	-1	-1	
09/04/2017 04:53:11.023126	8.47155	0.564954	0.65	0.602071	-1	-1	-1	
09/04/2017 04:53:12.022399	8.47083	0.423241	0.65	0.602071	-1	-1	-1	
09/04/2017 04:53:13.021580	8.471	0.568514	0.65	0.602071	-1	-1	-1	
09/04/2017 04:53:14.020974	8.47135	0.388282	0.65	0.602071	-1	-1	-1	
09/04/2017 04:53:15.020724	8.46967	0.570816	0.65	0.602071	-1	-1	-1	
09/04/2017 04:53:16.019997	8.47039	0.551633	0.65	0.602071	-1	-1	-1	
09/04/2017 04:53:17.019316	8.47016	0.572768	0.65	0.602071	-1	-1	-1	
09/04/2017 04:53:18.019004	8.47078	0.360618	0.7	0.602071	-1	-1	-1	
09/04/2017 04:53:19.018580	8.47252	0.546694	0.7	0.629778	-1	-1	-1	
09/04/2017 04:53:20.018222	8.4716	0.55526	0.7	0.654441	-1	-1	-1	
09/04/2017 04:53:21.017904	8.47105	0.566114	0.7	0.654441	-1	-1	-1	
09/04/2017 04:53:22.017458	8.47229	0.562142	0.7	0.654441	-1	-1	-1	
09/04/2017 04:53:23.016732	8.47249	0.412199	0.7	0.654441	-1	-1	-1	
09/04/2017 04:53:24.016087	8.47195	0.557247	0.7	0.654441	-1	-1	-1	
09/04/2017 04:53:25.015327	8.47018	0.561184	0.7	0.654441	-1	-1	-1	
09/04/2017 04:53:26.015040	8.47043	0.559407	0.7	0.654441	-1	-1	-1	
09/04/2017 04:53:27.014207	8.47082	0.556998	0.7	0.654441	-1	-1	-1	
09/04/2017 04:53:28.013496	8.47073	0.56814	0.75	0.654441	-1	-1	-1	
09/04/2017 04:53:29.013092	8.47378	0.564384	0.75	0.682382	-1	-1	-1	
09/04/2017 04:53:30.012602	8.4732	0.561953	0.75	0.706968	-1	-1	-1	
09/04/2017 04:53:31.012576	8.47335	0.554223	0.75	0.706968	-1	-1	-1	
09/04/2017 04:53:32.011814	8.47802	0.562497	0.75	0.706968	-1	-1	-1	
09/04/2017 04:53:33.011148	8.47839	0.566439	0.75	0.706968	-1	-1	-1	
09/04/2017 04:53:34.010247	8.48326	0.55736	0.75	0.706968	-1	-1	-1	
09/04/2017 04:53:35.009491	8.48361	0.566324	0.75	0.706968	-1	-1	-1	
09/04/2017 04:53:36.008767	8.49073	0.561066	0.75	0.706968	-1	-1	-1	
09/04/2017 04:53:37.007961	8.48963	0.555269	0.75	0.706968	-1	-1	-1	
09/04/2017 04:53:38.007139	8.49295	0.559791	0.8	0.706968	-1	-1	-1	
09/04/2017 04:53:39.006636	8.4934	0.567879	0.8	0.734518	-1	-1	-1	
